Source;Target;Label;Weight
52;16;C;5
54;16;C;5
56;16;C2;7
65;16;CL;5.5
68;16;1;5
69;16;2;2
76;16;1;5
81;16;3;1
87;16;3;2
89;16;C1;10
95;16;1;5
101;16;C;5
104;16;12;7
105;16;2;2
111;16;1L;5.5
113;16;2;2
119;16;C2;7
123;16;2;2
128;16;1;5
1;17;L;2
13;17;2;2
16;17;L;0.5
19;17;3;1
23;17;L;0.5
26;17;2;2
28;17;2;4
32;17;2;2
35;17;3;1
37;17;L;0.5
40;17;2;2
42;17;3;1
47;17;3L;2
49;17;L;0.5
58;17;L;0.5
63;17;3;1
66;17;C2L;7.5
68;17;23;3
72;17;1;5
73;17;23L;3.5
76;17;2;2
77;17;1;5
87;17;3;1
89;17;3;1
93;17;1;5
100;17;12;7
108;17;C;5
111;17;3L;1.5
125;17;2;2
127;17;L;1.5
2;19;2;2
7;19;C;5
9;19;C2;7
12;19;1;10
17;19;3;1
31;19;2;2
32;19;1;10
35;19;C3;6
39;19;2;2
47;19;1;5
51;19;1;5
52;19;1;5
54;19;1;5
55;19;C2;7
57;19;2;2
63;19;12;7
69;19;C;5
77;19;3;1
86;19;2;2
90;19;C;5
92;19;C1;10
94;19;C;5
95;19;2;2
108;19;1;5
116;19;1;5
1;20;1;5
2;20;2;2
7;20;L;0.5
8;20;C1;10
16;20;C1;10
28;20;2;2
29;20;C2;7
31;20;3;1
34;20;1L;5.5
37;20;1;5
39;20;L;0.5
41;20;1;5
42;20;12;7
46;20;C2;9
49;20;C;5
52;20;C1;10
54;20;C;5
56;20;C3;6
57;20;L;0.5
58;20;12;7
65;20;C2;7
71;20;1;5
81;20;1;5
87;20;2;2
89;20;C;5
98;20;1;5
100;20;1;5
101;20;C;5
111;20;2L;2.5
113;20;2;2
116;20;1;5
119;20;C2;7
12;23;2;2
13;23;2;2
17;23;L;0.5
33;23;C;5
49;23;L;0.5
61;23;3;1
63;23;L;0.5
67;23;2;2
72;23;1;5
73;23;2L;2.5
80;23;L;0.5
81;23;3;1
82;23;1;5
94;23;2;2
95;23;L;0.5
97;23;3L;1.5
98;23;1;5
111;23;L;0.5
113;23;3;1
127;23;L;0.5
4;26;2;2
7;26;1;5
12;26;C;5
17;26;2;2
27;26;L;0.5
28;26;C;5
29;26;1;5
30;26;C;5
31;26;1;5
32;26;2;2
33;26;2L;2.5
36;26;L;0.5
39;26;2;2
42;26;12;7
43;26;2;2
46;26;1L;5.5
47;26;2;2
49;26;2L;4.5
51;26;1;10
52;26;1;5
53;26;2;2
54;26;1;10
55;26;3;1
59;26;L;0.5
63;26;2;2
65;26;3;1
68;26;1;5
79;26;C;5
81;26;C1;10
87;26;C2L;7.5
96;26;1;5
97;26;L;0.5
100;26;1;5
103;26;1L;10.5
104;26;CL;5.5
106;26;1;5
113;26;L;0.5
115;26;1;5
119;26;23;3
121;26;C1;10
128;26;C1;10
2;27;1;5
7;27;1;5
9;27;1;5
26;27;L;0.5
32;27;13;6
36;27;2;2
40;27;1;10
42;27;1;5
44;27;L;0.5
45;27;L;0.5
72;27;L;0.5
77;27;L;0.5
86;27;L;0.5
87;27;12;7
94;27;1;5
96;27;1;5
100;27;2;2
103;27;1;5
108;27;L;0.5
111;27;2;2
113;27;1;5
115;27;2;2
118;27;L;0.5
128;27;2;2
1;28;2;4
2;28;1;5
9;28;2;2
11;28;23;3
12;28;C;5
13;28;1;5
17;28;2;4
20;28;2;2
26;28;C;5
30;28;C;5
40;28;1;5
52;28;1;5
55;28;2;2
59;28;1;5
61;28;2;2
62;28;2;2
63;28;L;0.5
65;28;L;0.5
66;28;1;5
69;28;2;2
71;28;1;5
73;28;2;4
77;28;1;5
79;28;C23;8
81;28;C;5
87;28;C;5
100;28;2;2
103;28;1;5
104;28;C;5
105;28;L;1
108;28;2;2
111;28;23;3
115;28;2;2
119;28;2;2
121;28;C;5
124;28;1;10
128;28;C1;10
1;29;13;6
8;29;C;5
16;29;C;5
20;29;C2;7
26;29;1;5
31;29;3;1
32;29;12;9
33;29;3;1
35;29;2;2
40;29;1;5
46;29;C;5
49;29;C;5
52;29;C;5
54;29;C;5
55;29;L;0.5
56;29;C;5
59;29;2;2
65;29;C1;10
66;29;1;5
81;29;2;4
89;29;C;5
90;29;1;5
94;29;1;5
101;29;C;5
104;29;2;2
108;29;2;2
113;29;2;2
117;29;L;0.5
119;29;C;5
121;29;1;5
128;29;2;2
1;30;L;0.5
11;30;1;5
12;30;C2;9
16;30;2;2
26;30;C;5
28;30;C;5
